tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Rhynchocyon_udzungwensis,Rhynchocyon_udzungwensis,direct,Macroscelidea,Macroscelididae,Rhynchocyon,VU,0.0
Elephantulus_myurus,Elephantulus_myurus,direct,Macroscelidea,Macroscelididae,Elephantulus,LC,0.0
Elephantulus_edwardii,Elephantulus_edwardii,direct,Macroscelidea,Macroscelididae,Elephantulus,LC,0.0
Macroscelides_micus,Macroscelides_micus,direct,Macroscelidea,Macroscelididae,Macroscelides,LC,0.0
Macroscelides_proboscideus,Macroscelides_proboscideus,direct,Macroscelidea,Macroscelididae,Macroscelides,LC,0.0
Macroscelides_flavicaudatus,Macroscelides_flavicaudatus,direct,Macroscelidea,Macroscelididae,Macroscelides,LC,0.0
Elephantulus_revoilii,,unmatched,,,,,
Petrodromus_tetradactylus,Petrodromus_tetradactylus,direct,Macroscelidea,Macroscelididae,Petrodromus,LC,0.0
Elephantulus_fuscus,Elephantulus_fuscus,direct,Macroscelidea,Macroscelididae,Elephantulus,DD,0.0
Elephantulus_rozeti,Petrosaltator_rozeti,synonym:MSW3,Macroscelidea,Macroscelididae,Petrosaltator,LC,0.0
Elephantulus_intufi,Elephantulus_intufi,direct,Macroscelidea,Macroscelididae,Elephantulus,LC,0.0
Elephantulus_pilicaudus,Elephantulus_pilicaudus,direct,Macroscelidea,Macroscelididae,Elephantulus,DD,0.0
Elephantulus_rupestris,Elephantulus_rupestris,direct,Macroscelidea,Macroscelididae,Elephantulus,LC,0.0
Elephantulus_fuscipes,Elephantulus_fuscipes,direct,Macroscelidea,Macroscelididae,Elephantulus,DD,0.0
Elephantulus_brachyrhynchus,Elephantulus_brachyrhynchus,direct,Macroscelidea,Macroscelididae,Elephantulus,LC,0.0
Elephantulus_rufescens,Galegeeska_rufescens,synonym:MSW3,Macroscelidea,Macroscelididae,Galegeeska,LC,0.0
Potamogale_velox,Potamogale_velox,direct,Afrosoricida,Potamogalidae,Potamogale,LC,0.0
Micropotamogale_ruwenzorii,Micropotamogale_ruwenzorii,direct,Afrosoricida,Potamogalidae,Micropotamogale,LC,0.0
Micropotamogale_lamottei,Micropotamogale_lamottei,direct,Afrosoricida,Potamogalidae,Micropotamogale,VU,0.0
Microgale_fotsifotsy,Microgale_fotsifotsy,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_nasoloi,Microgale_nasoloi,direct,Afrosoricida,Tenrecidae,Microgale,VU,0.0
Microgale_pusilla,Microgale_pusilla,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_principula,Microgale_principula,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_majori,Microgale_majori,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_dryas,Microgale_dryas,direct,Afrosoricida,Tenrecidae,Microgale,VU,0.0
Microgale_monticola,Microgale_monticola,direct,Afrosoricida,Tenrecidae,Microgale,VU,0.0
Microgale_longicaudata,Microgale_longicaudata,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_jobihely,Microgale_jobihely,direct,Afrosoricida,Tenrecidae,Microgale,EN,0.0
Microgale_gymnorhyncha,Microgale_gymnorhyncha,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_cowani,Microgale_cowani,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_taiva,Microgale_taiva,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_grandidieri,Microgale_grandidieri,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_gracilis,Microgale_gracilis,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_brevicaudata,Microgale_brevicaudata,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_dobsoni,Nesogale_dobsoni,synonym:MSW3,Afrosoricida,Tenrecidae,Nesogale,LC,0.0
Microgale_thomasi,Microgale_thomasi,direct,Afrosoricida,Tenrecidae,Microgale,LC,0.0
Microgale_jenkinsae,Microgale_jenkinsae,direct,Afrosoricida,Tenrecidae,Microgale,EN,0.0
Limnogale_mergulus,Microgale_mergulus,synonym:MSW3,Afrosoricida,Tenrecidae,Microgale,VU,0.0
